('consult', 'NN')
('mechanisms', 'NNS')
('represented', 'VBD')
('work-round', 'JJ')
('wishes', 'NNS')
('intermediates', 'VBZ')
('satisfy', 'JJ')
('absir', 'NN')
('summing', 'VBG')
('ranges', 'NNS')
('encode_alpha', 'RB')
('than', 'IN')
('iteration', 'NN')
('following', 'VBG')
('inline', 'JJ')
('none', 'NN')
('cancels', 'NNS')
('rationale', 'VBP')
('file->idat_max', 'JJ')
('involving', 'VBG')
('paramsnparams', 'NNS')
('srgb1', 'VBP')
('desire', 'NN')
('misbehavior', 'JJ')
('pngh', 'NN')
('hardware', 'NN')
('png_ptr->bit_depth', 'JJ')
('room', 'NN')
('tmpfile', 'NN')
('weighted', 'VBD')
('amount', 'NN')
('read_interlacing', 'VBG')
('feedback', 'NN')
('jcb', 'NN')
('receives', 'VBZ')
('compression_buffer', 'VBP')
('practice', 'NN')
('factor', 'NN')
('png_ptr->zowner', 'JJ')
('equations', 'NNS')
('limitation', 'NN')
('libpng-156', 'JJ')
('blocky', 'JJ')
('image-height', 'JJ')
('disclaimer', 'NN')
('png_transform_', 'NN')
('png_no_stdio', 'NN')
('received', 'VBD')
('expand16', 'JJ')
('white-scale', 'JJ')
('modulo', 'NN')
('reported', 'VBD')
('completion', 'NN')
('negate', 'NN')
('flushes', 'NNS')
('strcmp', 'VBP')
('preset', 'NN')
('word', 'NN')
('changed', 'VBD')
('bad_combos', 'NNS')
('zlib_fatal', 'NN')
('marked', 'VBD')
('care', 'NN')
('caught', 'VBN')
('green-x', 'JJ')
('viewing', 'VBG')
('unsigned_max', 'JJ')
('intersects', 'NNS')
('say', 'VBP')
('red-cred-scale', 'JJ')
('png_row_in_interlace_passy', 'NN')
('mybuffer', 'NN')
('skp', 'JJ')
('format_flag', 'JJ')
('8-bits', 'JJ')
('composition', 'NN')
('ferror', 'NN')
('combined', 'VBN')
('xyz1', 'CD')
('allocating', 'VBG')
('fclose', 'RB')
('eliminated', 'VBN')
('take', 'NN')
('writing', 'VBG')
('assumes', 'NNS')
('put', 'VBD')
('raw', 'JJ')
('recompile', 'NN')
('cnhp730sicc', 'NN')
('restricted', 'VBD')
('per-type', 'JJ')
('png_get_io_ptrpng_ptr', 'NN')
('freedom', 'NN')
('signalled', 'VBD')
('align_type', 'JJ')
('illusion', 'NN')
('testing', 'VBG')
('alpha0', 'JJ')
('displaying', 'VBG')
('vulnerability', 'NN')
('read_srgb', 'NN')
('inaccuracy', 'NN')
('adigits', 'VBZ')
