phrase,concept,most_sim_1,score_1,most_sim_2,score_2,most_sim_3,score_3,most_sim_4,score_4,most_sim_5,score_5,most_sim_6,score_6,most_sim_7,score_7,most_sim_8,score_8,most_sim_9,score_9,most_sim_10,score_10
childern,comment,childeren,0.6284326910972595,chilren,0.6258658170700073,childen,0.6179028153419495,subchildren,0.5797958374023438,chidren,0.5498428344726562,sub-child,0.542111873626709,parentrow,0.5289948582649231,childname,0.5209872722625732,grandchild,0.5037285089492798,childrow,0.5011278986930847
catch,comment,throw,0.6168391704559326,trace,0.5093228816986084,thrown,0.47659996151924133,caught,0.44766947627067566,errmode,0.3877250850200653,ioe,0.3835213780403137,raise,0.3801981210708618,close,0.3772398829460144,else,0.34860801696777344,except,0.34563514590263367
sleep,comment,wait,0.6596149802207947,usleep,0.65187668800354,interrupt,0.6019511222839355,idle,0.558521568775177,woken,0.5480648279190063,asleep,0.5447957515716553,awaken,0.543333888053894,sleeptime,0.5313566327095032,sleeper,0.524854838848114,wake-up,0.5238842964172363
alpha-s,comment,beta,0.6435959339141846,gamma,0.6409253478050232,bravo,0.5610209107398987,omega,0.5562878251075745,blend,0.5489848852157593,aplha,0.5432851910591125,opacity,0.5132640600204468,lpha,0.4697269797325134,alpa,0.465695858001709,premultip,0.45788753032684326
increase,comment,decrease,0.9256108999252319,grow,0.6869266033172607,reduce,0.6485506892204285,diminish,0.6252497434616089,lower,0.5919424295425415,exceed,0.5630015134811401,significant,0.5598627328872681,large,0.5456103086471558,dramatical,0.5443617105484009,high,0.5431516170501709
calculate,comment,calculation,0.7105693817138672,compute,0.6322053074836731,recalculate,0.6302008628845215,average,0.5850816965103149,estimate,0.5682929754257202,subtract,0.5378302931785583,multip,0.524882435798645,calulate,0.5148146152496338,sum,0.512965202331543,calculator,0.5078867673873901
swap,comment,swapper,0.5432888269424438,flip,0.5192081332206726,swappable,0.5042646527290344,permute,0.43715012073516846,move,0.434994101524353,shuffle,0.42853233218193054,quicksort,0.42802101373672485,reorder,0.4136117994785309,permutation,0.40826350450515747,xchg,0.4038669466972351
cause,comment,occur,0.7139440774917603,due,0.7067134976387024,encounter,0.6644978523254395,happen,0.6072179675102234,suspect,0.6041088104248047,arise,0.5919461846351624,suffer,0.5734239816665649,lead,0.570682168006897,avoid,0.549816370010376,occure,0.5370516777038574
incremented,comment,decremented,0.8441779613494873,increment,0.8051191568374634,decrement,0.7968961000442505,incrementation,0.6763612031936646,increament,0.5718004107475281,counter,0.5539827942848206,decrementation,0.5093222856521606,incriment,0.49410223960876465,overwritten,0.4843295216560364,incrementer,0.4556875228881836
approximation,comment,approximate,0.7277563810348511,relaxation,0.4839949309825897,discretization,0.4714919328689575,asymptotical,0.4666001796722412,estimator,0.4584437906742096,interpolation,0.4560176730155945,asymptotic,0.45282575488090515,convergence,0.4524766206741333,running-time,0.45142754912376404,bound,0.4424038529396057
aim,comment,goal,0.6275713443756104,strive,0.5782554745674133,methodology,0.5154440402984619,motivation,0.5145129561424255,objective,0.4831423759460449,empower,0.478668212890625,systematical,0.4663756191730499,encourage,0.46323728561401367,assist,0.4625125527381897,ambitiou,0.45477545261383057
specification,comment,conformance,0.6107389330863953,conform,0.5997709631919861,conformant,0.592536211013794,formal,0.580241322517395,spec,0.5601179599761963,formalization,0.5598149299621582,compliant,0.5444712042808533,formalisation,0.5397453308105469,event-b,0.5344314575195312,mandate,0.523568868637085
near,comment,furthest,0.6135951280593872,farthest,0.5564429759979248,neighbor,0.5356519222259521,nearby,0.5328282117843628,nowhere,0.522721529006958,neighbour,0.5170208215713501,nearer,0.49875104427337646,farther,0.4912737011909485,vicinity,0.49089330434799194,k-nearest,0.4619952440261841
increasing,comment,nowaday,0.738832414150238,advent,0.6861735582351685,widespread,0.6663823127746582,commonplace,0.6624587774276733,proliferation,0.609698474407196,rapid,0.6035964488983154,mainstream,0.5956273674964905,emerge,0.5906490087509155,especial,0.5843576788902283,grown,0.5814367532730103
wdl,comment,jvb,0.726218044757843,qog,0.7094740271568298,zsb,0.7089112997055054,rhd,0.7012463212013245,vjd,0.6923325061798096,vyd,0.6868698596954346,wdu,0.6863004565238953,byb,0.6842749118804932,qgd,0.6837793588638306,mzg,0.6833430528640747
divide,comment,multip,0.6031862497329712,subdivide,0.5542787909507751,remainder,0.5459539890289307,devide,0.5382359623908997,division,0.5295451283454895,subtract,0.515417754650116,four,0.5052779912948608,devided,0.5051977038383484,equal-sized,0.4964170753955841,divisible,0.4951743483543396
mobility,comment,vanet,0.5952697992324829,manet,0.5910143852233887,handoff,0.5640124082565308,vane,0.5548349022865295,mane,0.5451823472976685,nomadic,0.5323169231414795,urban,0.5246402025222778,rwp,0.5153853893280029,heterogeneity,0.5094882249832153,micro-mobility,0.5085747838020325
serialize,comment,serialise,0.7647034525871277,deserialize,0.7468684315681458,deserialized,0.7274550199508667,deserializ,0.7184377908706665,serialization,0.6930789351463318,serializer,0.6583709120750427,serialisation,0.6199901103973389,deserialise,0.6144023537635803,de-serialize,0.6125658750534058,unserialize,0.5975251197814941
unix,comment,nix,0.7804614901542664,unix-like,0.7525055408477783,linux,0.7428736686706543,unix-based,0.6802312135696411,solari,0.6646934747695923,posix,0.6339614391326904,unix-style,0.6215035915374756,hp-ux,0.5696423053741455,cygwin,0.567936897277832,hpux,0.5655169486999512
shortest,comment,shortest-path,0.6708434820175171,dijkstra,0.6382615566253662,shortestpath,0.5574812293052673,all-pair,0.5517095327377319,k-shortest,0.5364689230918884,u-to-v,0.4996316432952881,single-source,0.49118298292160034,bellman-ford,0.4825647175312042,s-t,0.47997382283210754,geodesic,0.4779687821865082
separated,comment,seperat,0.4089547395706177,seprate,0.3994526267051697,splitt,0.37843525409698486,separete,0.3679516911506653,re-combine,0.36786729097366333,spilt,0.366925448179245,separat,0.36255231499671936,seperate,0.3607035279273987,rejoined,0.3581787347793579,subpiece,0.3580395579338074
hold,comment,held,0.5616170763969421,imp,0.5289045572280884,satisfy,0.5187680721282959,satisfied,0.5096043348312378,suppose,0.4718465209007263,proposition,0.4432331919670105,hence,0.43593674898147583,assume,0.4340759515762329,coincide,0.4207857549190521,monotonicity,0.4159967303276062
httpsmarcelknet2013-04-06paperupcoming-rep-v2pdf,comment,replier,0.6115512847900391,sent,0.5454117059707642,send,0.5436180233955383,receive,0.49932408332824707,ack,0.4901100993156433,message,0.48961350321769714,resend,0.46362924575805664,conversation,0.4546735882759094,originator,0.44856277108192444,reply-to,0.43640559911727905
word,comment,sentence,0.703930675983429,phrase,0.6893242597579956,wordlist,0.6065716743469238,n-gram,0.5811681747436523,bigram,0.5753814578056335,letter,0.5574294328689575,syllable,0.5552425980567932,pronunciation,0.5531057119369507,punctuation,0.5472804307937622,unigram,0.5368116497993469
setup,comment,set-up,0.7510743141174316,configure,0.5700958371162415,teardown,0.5206058025360107,installation,0.5002470016479492,install,0.49273595213890076,installer,0.4463537931442261,tear-down,0.4181055724620819,deployment,0.4167477488517761,instal,0.4164825677871704,configuration,0.4075241982936859
work,comment,dandy,0.6292014122009277,everth,0.532271146774292,everyt,0.5036872625350952,eveyth,0.4643017649650574,wokr,0.45721691846847534,alright,0.43247097730636597,flawless,0.4298303425312042,swimming,0.4293401837348938,worke,0.42867282032966614,workin,0.42587316036224365
root,comment,non-root,0.5957379341125488,sub-tree,0.5561090111732483,subtree,0.5471435785293579,non-leaf,0.48574307560920715,subroot,0.48151880502700806,kdmflush,0.47836148738861084,leaf,0.45863813161849976,toor,0.4565277695655823,path,0.45300227403640747,nonroot,0.44926124811172485
example,comment,exmaple,0.5586161017417908,contrive,0.5077275633811951,illustration,0.48520833253860474,demo,0.4782637655735016,illustrate,0.46945780515670776,exampe,0.45157957077026367,illustrative,0.4420665204524994,snippet,0.43950408697128296,hypothetical,0.4335770010948181,made-up,0.42167654633522034
give,comment,obtain,0.5062017440795898,suppose,0.4836333692073822,exact,0.4649488925933838,correspond,0.4574505090713501,determine,0.4420747756958008,specify,0.4412160813808441,assume,0.44053417444229126,provide,0.4257560670375824,let,0.42221835255622864,produce,0.3973287045955658
verify,comment,verification,0.6934857368469238,check,0.592987060546875,verifier,0.5716129541397095,double-check,0.5668725967407227,validity,0.5446114540100098,validate,0.5218942761421204,correctnes,0.5140941143035889,ensure,0.5111372470855713,certify,0.5027568936347961,valid,0.49324870109558105
adjacent,comment,consecutive,0.6393948793411255,neighbour,0.6339905858039856,non-adjacent,0.6314808130264282,nonadjacent,0.5913513898849487,neighbor,0.57671719789505,vertice,0.5400072336196899,edge,0.5356686115264893,overlap,0.5243284702301025,neighbored,0.5009522438049316,cross,0.4953213334083557
description,comment,descr,0.611783504486084,descript,0.6038789749145508,descrip,0.5494575500488281,desription,0.5473216772079468,title,0.5457637310028076,decription,0.5200321078300476,desc,0.5199593901634216,desciption,0.5153363943099976,descrption,0.4968966841697693,descripton,0.4939804971218109
attempt,comment,succeed,0.5893930196762085,fail,0.5815856456756592,unsuccessful,0.567484974861145,attemp,0.5585335493087769,successful,0.5536038279533386,subsequent,0.5204881429672241,try,0.4974379241466522,refuse,0.46049660444259644,aborted,0.4472765326499939,chance,0.41709449887275696
carry-rippler,comment,perform,0.5111086964607239,involve,0.49673402309417725,preform,0.4613921642303467,undertaken,0.4593827426433563,subtraction,0.42882218956947327,carryout,0.4061814844608307,carry-out,0.40525808930397034,conduct,0.4032665491104126,undertake,0.400321364402771,preformed,0.39216548204421997
order,comment,asc,0.6952476501464844,descend,0.6714457273483276,desc,0.6267800331115723,oreder,0.584478497505188,ascend,0.5627614259719849,chronological,0.5352157950401306,alphabetical,0.5265960693359375,orderby,0.5222055912017822,decend,0.5153464078903198,orderid,0.5080293416976929
fit,comment,fitt,0.6738955974578857,scale,0.5146227478981018,shrink,0.5121168494224548,adjust,0.4871551990509033,stretch,0.4492768943309784,resize,0.4492611587047577,shrunk,0.44785457849502563,re-size,0.4102829098701477,coef,0.403727263212204,rescale,0.3970099985599518
stalemate,comment,checkmate,0.6408752202987671,victoriou,0.5783895254135132,confrontation,0.5402092933654785,diplomacy,0.5349149703979492,winnable,0.5336233973503113,end-game,0.5057228803634644,endgame,0.5048888921737671,conced,0.5005799531936646,checkwin,0.49435776472091675,bluff,0.4884050488471985
hidden,comment,hide,0.49322301149368286,input,0.49065494537353516,hid,0.48753058910369873,visibility,0.48597657680511475,invisible,0.4751894474029541,unhide,0.4646335244178772,visible,0.4592525064945221,unhidden,0.44430646300315857,checkbox,0.4381256103515625,nowrap,0.43570005893707275
weakness,comment,weaknes,0.854013204574585,shortcom,0.7015731930732727,flaw,0.5983480215072632,inadequacy,0.5479228496551514,vulnerability,0.5402416586875916,impediment,0.5326989889144897,deficiency,0.5314629077911377,threat,0.5267526507377625,drawback,0.5127259492874146,strength,0.5056359767913818
break,comment,switch,0.6055221557617188,case,0.6050607562065125,else,0.5534169673919678,endswitch,0.4963860809803009,fallthrough,0.4844137132167816,ignore,0.4511532485485077,continue,0.4389561116695404,elif,0.4282544255256653,insensitive,0.4091693162918091,esac,0.39799004793167114
classified,comment,catergory,0.46064916253089905,nightclub,0.41669124364852905,malden,0.4158965051174164,categoris,0.40716856718063354,swapna,0.406524121761322,dailymail,0.3923676609992981,mahal,0.3903146982192993,charity,0.3840838670730591,bestseller,0.37965714931488037,sub-category,0.3787514567375183
component,comment,subcomponent,0.6207323670387268,componet,0.5710456371307373,sub-component,0.5650502443313599,compnent,0.5192883610725403,compenent,0.49911192059516907,ponent,0.48246827721595764,compoent,0.4770814776420593,compoenent,0.4707415699958801,mycomponent,0.47019511461257935,comonent,0.4504125714302063
debug,comment,debugger,0.599166989326477,dbg,0.5668686628341675,backtrace,0.500883936882019,loglevel,0.5007787942886353,diagnostic,0.500511646270752,gdb,0.48921704292297363,non-debug,0.48504725098609924,verbose,0.47443854808807373,ndebug,0.4742790758609772,breakpoint,0.46724796295166016
side,comment,hand,0.5767635107040405,left-hand,0.5712942481040955,righthand,0.559575617313385,lefthand,0.5509883165359497,right-hand,0.5458855628967285,right,0.5028765797615051,angled,0.4259136915206909,serer,0.4176146984100342,serverside,0.4153231978416443,cleint,0.40990400314331055
overwrite,comment,overwritten,0.812139093875885,over-writ,0.5138149857521057,over-written,0.5105090737342834,overwrote,0.5053691864013672,modify,0.5000356435775757,overwritt,0.4994726777076721,over-write,0.4786742627620697,reassign,0.4717915654182434,clobber,0.4670381546020508,copy,0.4665497839450836
