phrase,concept,most_sim_1,score_1,most_sim_2,score_2,most_sim_3,score_3,most_sim_4,score_4,most_sim_5,score_5,most_sim_6,score_6,most_sim_7,score_7,most_sim_8,score_8,most_sim_9,score_9,most_sim_10,score_10
clean-up,comment,cleaning,0.743838369846344,cleaned,0.6510181427001953,cleanup,0.6492608785629272,rebuild,0.6185823082923889,mess,0.6140348315238953,cleanly,0.610840916633606,tidy,0.5818522572517395,messy,0.5729893445968628,build,0.5579587817192078,remove,0.55246901512146
aliased,comment,alias,0.6543326377868652,aliases,0.6423342823982239,edgemode,0.6391791105270386,aliasing,0.609860897064209,unaliased,0.5731196999549866,bundledruby,0.5257593989372253,tmuxnext,0.49728426337242126,nonaliased,0.4901464283466339,fffefeff,0.4899251461029053,shadowed,0.48688143491744995
saves,comment,save,0.7769853472709656,saving,0.7735604047775269,saved,0.7515835762023926,wastes,0.5935357213020325,stores,0.5754181742668152,grabs,0.5652777552604675,fetches,0.5538917779922485,adds,0.5514242649078369,pulls,0.5475980043411255,creates,0.547166109085083
color-scale,comment,colour,0.7582318186759949,scales,0.6862950921058655,colors,0.6796655654907227,scaling,0.661007285118103,colours,0.6551826000213623,blue,0.6549757719039917,pixels,0.6359603404998779,scaled,0.6320172548294067,grey,0.6309540271759033,gray,0.6276309490203857
hanging,comment,hang,0.8171491622924805,hangs,0.7677967548370361,killing,0.7172561883926392,hung,0.7158471345901489,freezes,0.6969916224479675,freezing,0.6844750642776489,unresponsive,0.6738953590393066,killed,0.662458062171936,dying,0.660845160484314,lingering,0.6586899757385254
consists,comment,comprises,0.8826348185539246,consisting,0.8686872720718384,composed,0.8354775309562683,comprised,0.8264703750610352,consist,0.817110002040863,comprising,0.7985913753509521,consisted,0.7333091497421265,comprise,0.7066423892974854,constituted,0.6730120778083801,constituting,0.6596570014953613
msgi,comment,receivem,0.6433130502700806,acki,0.6419771909713745,originimsgi,0.6320510506629944,rcvi,0.6125075817108154,sendm,0.6106950044631958,receivedij,0.6013044118881226,sendi,0.5985339283943176,msgis,0.5970625877380371,compmsg,0.5947130918502808,procsincs,0.5844528675079346
increase,comment,decrease,0.9549673199653625,increased,0.9232522249221802,increases,0.8926076889038086,increasing,0.8715193271636963,decreased,0.8617630004882812,decreases,0.8314235210418701,reducing,0.7452877759933472,lowering,0.7440953254699707,reduce,0.7403292655944824,diminish,0.7375960350036621
replacements,comment,replacement,0.7556699514389038,replacementsx,0.6830565929412842,replace,0.5992534160614014,replaceall,0.5790349245071411,replacer,0.5755518674850464,searchandreplace,0.551071286201477,pregreplace,0.5421137809753418,searchreplace,0.5407881140708923,substitutions,0.5388849377632141,toreplace,0.5386239290237427
calculate,comment,calculating,0.889441728591919,compute,0.8464912176132202,calculated,0.8452886343002319,calculates,0.7851314544677734,calculation,0.7647730112075806,computed,0.6932565569877625,recalculate,0.6836572885513306,estimate,0.6633306741714478,estimated,0.650691568851471,determine,0.6369718313217163
