phrase,concept,most_sim_1,score_1,most_sim_2,score_2,most_sim_3,score_3,most_sim_4,score_4,most_sim_5,score_5,most_sim_6,score_6,most_sim_7,score_7,most_sim_8,score_8,most_sim_9,score_9,most_sim_10,score_10
Like,name,alike,0.47053998708724976,liek,0.4155309200286865,suspicious,0.403298020362854,nicer,0.3800211548805237,smth,0.36935096979141235,basical,0.36365559697151184,funny,0.350578248500824,end-result,0.3427067995071411,awful,0.339936763048172,funky,0.3301088809967041
localhost,name,myhost,0.648605465888977,myserver,0.6418487429618835,mydomain,0.5660579800605774,host,0.5651419758796692,locahost,0.5470452904701233,hostname,0.5383924841880798,yourhost,0.523284375667572,mywebsite,0.517171323299408,testserver,0.5103926658630371,yourserver,0.5025492906570435
readfd,name,writefd,0.8431386947631836,maxfd,0.8400449752807617,fdset,0.8337450623512268,exceptfd,0.799080491065979,rfd,0.7310810685157776,fdmax,0.7076401710510254,readset,0.6777575016021729,setsize,0.6303617358207703,sockfd,0.5894758105278015,timeval,0.5769056081771851
comp,name,cmp,0.4937134385108948,lete,0.46572014689445496,tence,0.42565637826919556,gmane,0.4227176606655121,sckt,0.4116986393928528,component,0.40186333656311035,uter,0.397358238697052,indep,0.3968185782432556,cont,0.3948715925216675,subcomponent,0.3896511197090149
checkall,name,selectall,0.673992395401001,mycheckbox,0.650892972946167,chkbox,0.6078959703445435,checkboxid,0.586153507232666,checkbox,0.5860152244567871,chckbox,0.5685275793075562,chkbx,0.5655117034912109,chck,0.5509171485900879,ckbox,0.5424817204475403,chbx,0.5246978998184204
decision,name,decision-mak,0.5616418123245239,decisionmak,0.47290053963661194,decison,0.4689386487007141,sense,0.45129960775375366,decision-maker,0.4283992350101471,decide,0.4199456572532654,deci,0.4189108610153198,prediction,0.4150286912918091,cision,0.41476547718048096,sure,0.4007977247238159
form,name,submit,0.6108986735343933,fieldset,0.598933756351471,myform,0.587784469127655,frm,0.5773974061012268,onsubmit,0.4876372516155243,novalidate,0.47991320490837097,loginform,0.46661311388015747,signup,0.4471316933631897,enctype,0.4443832039833069,post,0.44327494502067566
packet,name,udp,0.6653829216957092,pkt,0.6488997936248779,datagram,0.648235559463501,retransmission,0.6256892681121826,flit,0.5983641147613525,retransmit,0.5933287143707275,tcp,0.5843890309333801,ack,0.5744253993034363,rtp,0.5730698108673096,retransmitt,0.5711320638656616
month,name,week,0.7940691709518433,year,0.7062294483184814,quarter,0.65459144115448,monthname,0.6104768514633179,mnth,0.609774112701416,hour,0.5632475018501282,monthy,0.5632268786430359,date,0.5617367625236511,fortnight,0.5558770895004272,feburary,0.5540467500686646
translate,name,translation,0.6694522500038147,transform,0.6048370003700256,translator,0.5952997207641602,untranslated,0.5383925437927246,translater,0.522747278213501,ctm,0.5177929997444153,tranlate,0.5101218223571777,translat,0.48233622312545776,translatable,0.4774090647697449,tranform,0.47260138392448425
overhead,name,latency,0.6655977368354797,incur,0.6400387287139893,slowdown,0.6394813060760498,burden,0.5790057182312012,unnecessary,0.5729720592498779,expensive,0.5678524971008301,footprint,0.5605201721191406,cost,0.5577980279922485,inefficiency,0.5462890267372131,bottleneck,0.5227981805801392
application,name,applicaiton,0.6751296520233154,aplication,0.6552843451499939,applicaton,0.6262778043746948,appliction,0.6099973917007446,app,0.6087123155593872,appication,0.55659019947052,applcation,0.5476086139678955,applciation,0.545722246170044,apllication,0.5252643823623657,applicaion,0.5185012221336365
