phrase,concept,most_sim_1,score_1,most_sim_2,score_2,most_sim_3,score_3,most_sim_4,score_4,most_sim_5,score_5,most_sim_6,score_6,most_sim_7,score_7,most_sim_8,score_8,most_sim_9,score_9,most_sim_10,score_10
restore,name,revert,0.6190420389175415,backup,0.5965131521224976,restoration,0.5721127390861511,save,0.530722975730896,recover,0.5199643969535828,backed-up,0.518916130065918,reinstate,0.5012145042419434,back-up,0.5011088252067566,recreate,0.49510592222213745,checkpoint,0.48733460903167725
cout,name,endl,0.9006460905075073,cin,0.6323007941246033,cerr,0.6208795309066772,std,0.5707083940505981,wcout,0.5185790657997131,setw,0.48257216811180115,getch,0.4419894814491272,getchar,0.4372248649597168,wcerr,0.4327373504638672,int,0.43250229954719543
show,name,hide,0.5960861444473267,displayed,0.5848076343536377,dialog,0.4769688844680786,messagebox,0.45439857244491577,depict,0.4369046986103058,display,0.43174004554748535,clicked,0.4163205921649933,appear,0.4157424867153168,popup,0.41412949562072754,present,0.4105730652809143
ffi,name,cffi,0.5285193920135498,libffi,0.520732045173645,swig,0.47984910011291504,cython,0.4484773576259613,lua,0.4470250606536865,ctype,0.44501635432243347,dlopen,0.4430713653564453,argtype,0.4361410140991211,bng,0.43084895610809326,ccall,0.42842602729797363
gcount,name,readsome,0.7265069484710693,noskipw,0.5557218790054321,nread,0.5550891160964966,readbyte,0.5442550182342529,streambuffer,0.5431099534034729,eofbit,0.5398224592208862,getline,0.5330055952072144,bytecount,0.5317912697792053,tellg,0.5317462086677551,bytesread,0.531685471534729
ofstream,name,fstream,0.8159838914871216,ifstream,0.8095325231552124,fout,0.6754538416862488,wofstream,0.5986297130584717,outfile,0.5770716667175293,filebuf,0.5741565227508545,rdbuf,0.5645173788070679,ofile,0.5506051778793335,wifstream,0.5285781621932983,fopen,0.5070107579231262
pointer,name,dereferenc,0.6838560700416565,dereference,0.6743824481964111,dereferenced,0.6489621996879578,pointed-to,0.571193516254425,de-referenc,0.5535175800323486,de-reference,0.5134684443473816,pointee,0.4998073875904083,poiner,0.49074143171310425,deference,0.48990124464035034,pointer-to-pointer,0.48938873410224915
find,name,closest,0.5584503412246704,found,0.5331940650939941,npo,0.39027833938598633,couldnt,0.38622063398361206,sought,0.3835059404373169,locate,0.38062816858291626,match,0.3782092332839966,ancestor,0.3721219301223755,finder,0.364732027053833,occurance,0.3642192482948303
struct,name,typedef,0.743277907371521,mystruct,0.5422692894935608,stuct,0.5263028144836426,sizeof,0.5209870338439941,typedefed,0.5060497522354126,uint,0.4950033128261566,typename,0.4787134528160095,typdef,0.4722653031349182,bitfield,0.4699179232120514,unsigned,0.4638948142528534
fpar,name,ipar,0.4354201555252075,ipre,0.42654380202293396,cpar,0.4132794141769409,vtot,0.4066941738128662,nband,0.3985803723335266,nonneg,0.3984212875366211,osize,0.3930617570877075,npt,0.39252710342407227,copyin,0.39208805561065674,ncnt,0.39117592573165894
